question,answer
How much revenue does Potato Inc. make from Americas in 2015 Q1?,183000000000.0
How much revenue does Potato Inc. make from Americas in 2015 Q2?,171000000000.0
How much revenue does Potato Inc. make from Americas in 2015 Q3?,80840000000.0
How much revenue does Potato Inc. make from Americas in 2015 Q4?,65310000000.0
How much revenue does Potato Inc. make from Americas in 2016 Q1?,235000000000.0
How much revenue does Potato Inc. make from Americas in 2016 Q2?,153000000000.0
How much revenue does Potato Inc. make from Americas in 2016 Q3?,35920000000.0
How much revenue does Potato Inc. make from Americas in 2016 Q4?,121000000000.0
How much revenue does Potato Inc. make from Americas in 2017 Q1?,128000000000.0
How much revenue does Potato Inc. make from Americas in 2017 Q2?,190000000000.0
How much revenue does Potato Inc. make from Americas in 2017 Q3?,143000000000.0
How much revenue does Potato Inc. make from Americas in 2017 Q4?,92400000000.0
How much revenue does Potato Inc. make from Americas in 2018 Q1?,141000000000.0
How much revenue does Potato Inc. make from Americas in 2018 Q2?,224000000000.0
How much revenue does Potato Inc. make from Americas in 2018 Q3?,123000000000.0
How much revenue does Potato Inc. make from Americas in 2018 Q4?,138000000000.0
How much revenue does Potato Inc. make from Americas in 2019 Q1?,296000000000.0
How much revenue does Potato Inc. make from Americas in 2019 Q2?,220000000000.0
How much revenue does Potato Inc. make from Americas in 2019 Q3?,125000000000.0
How much revenue does Potato Inc. make from Americas in 2019 Q4?,176000000000.0
How much revenue does Potato Inc. make from Americas in 2020 Q1?,290000000000.0
How much revenue does Potato Inc. make from Americas in 2020 Q2?,127000000000.0
How much revenue does Potato Inc. make from Americas in 2020 Q3?,108000000000.0
How much revenue does Potato Inc. make from Americas in 2020 Q4?,246000000000.0
How much revenue does Potato Inc. make from Americas in 2021 Q1?,139000000000.0
How much revenue does Potato Inc. make from Americas in 2021 Q2?,103000000000.0
How much revenue does Potato Inc. make from Americas in 2021 Q3?,251000000000.0
How much revenue does Potato Inc. make from Americas in 2021 Q4?,331000000000.0
How much revenue does Potato Inc. make from Americas in 2022 Q1?,360000000000.0
How much revenue does Potato Inc. make from Americas in 2022 Q2?,204000000000.0
How much revenue does Potato Inc. make from Americas in 2022 Q3?,337000000000.0
How much revenue does Potato Inc. make from Americas in 2022 Q4?,279000000000.0
How much revenue does Potato Inc. make from Americas in 2023 Q1?,197000000000.0
How much revenue does Potato Inc. make from Americas in 2023 Q2?,189000000000.0
How much revenue does Potato Inc. make from Americas in 2023 Q3?,177000000000.0
How much revenue does Potato Inc. make from Europe in 2015 Q1?,86050000000.0
How much revenue does Potato Inc. make from Europe in 2015 Q2?,85400000000.0
How much revenue does Potato Inc. make from Europe in 2015 Q3?,62040000000.0
How much revenue does Potato Inc. make from Europe in 2015 Q4?,84640000000.0
How much revenue does Potato Inc. make from Europe in 2016 Q1?,89650000000.0
How much revenue does Potato Inc. make from Europe in 2016 Q2?,80780000000.0
How much revenue does Potato Inc. make from Europe in 2016 Q3?,28920000000.0
How much revenue does Potato Inc. make from Europe in 2016 Q4?,54200000000.0
How much revenue does Potato Inc. make from Europe in 2017 Q1?,37040000000.0
How much revenue does Potato Inc. make from Europe in 2017 Q2?,50920000000.0
How much revenue does Potato Inc. make from Europe in 2017 Q3?,53400000000.0
How much revenue does Potato Inc. make from Europe in 2017 Q4?,39030000000.0
How much revenue does Potato Inc. make from Europe in 2018 Q1?,168000000000.0
How much revenue does Potato Inc. make from Europe in 2018 Q2?,111000000000.0
How much revenue does Potato Inc. make from Europe in 2018 Q3?,97104000000.0
How much revenue does Potato Inc. make from Europe in 2018 Q4?,76910000000.0
How much revenue does Potato Inc. make from Europe in 2019 Q1?,81452000000.0
How much revenue does Potato Inc. make from Europe in 2019 Q2?,52216000000.0
How much revenue does Potato Inc. make from Europe in 2019 Q3?,59625000000.0
How much revenue does Potato Inc. make from Europe in 2019 Q4?,120000000000.0
How much revenue does Potato Inc. make from Europe in 2020 Q1?,46546000000.0
How much revenue does Potato Inc. make from Europe in 2020 Q2?,114000000000.0
How much revenue does Potato Inc. make from Europe in 2020 Q3?,28346000000.0
How much revenue does Potato Inc. make from Europe in 2020 Q4?,101000000000.0
How much revenue does Potato Inc. make from Europe in 2021 Q1?,218000000000.0
How much revenue does Potato Inc. make from Europe in 2021 Q2?,111000000000.0
How much revenue does Potato Inc. make from Europe in 2021 Q3?,114000000000.0
How much revenue does Potato Inc. make from Europe in 2021 Q4?,83176000000.0
How much revenue does Potato Inc. make from Europe in 2022 Q1?,208000000000.0
How much revenue does Potato Inc. make from Europe in 2022 Q2?,116000000000.0
How much revenue does Potato Inc. make from Europe in 2022 Q3?,174000000000.0
How much revenue does Potato Inc. make from Europe in 2022 Q4?,182000000000.0
How much revenue does Potato Inc. make from Europe in 2023 Q1?,194000000000.0
How much revenue does Potato Inc. make from Europe in 2023 Q2?,95780000000.0
How much revenue does Potato Inc. make from Europe in 2023 Q3?,162000000000.0
How much revenue does Potato Inc. make from Greater China in 2015 Q1?,48420000000.0
How much revenue does Potato Inc. make from Greater China in 2015 Q2?,101000000000.0
How much revenue does Potato Inc. make from Greater China in 2015 Q3?,106000000000.0
How much revenue does Potato Inc. make from Greater China in 2015 Q4?,100000000000.0
How much revenue does Potato Inc. make from Greater China in 2016 Q1?,91850000000.0
How much revenue does Potato Inc. make from Greater China in 2016 Q2?,112000000000.0
How much revenue does Potato Inc. make from Greater China in 2016 Q3?,26550000000.0
How much revenue does Potato Inc. make from Greater China in 2016 Q4?,52740000000.0
How much revenue does Potato Inc. make from Greater China in 2017 Q1?,64920000000.0
How much revenue does Potato Inc. make from Greater China in 2017 Q2?,32190000000.0
How much revenue does Potato Inc. make from Greater China in 2017 Q3?,24000000000.0
How much revenue does Potato Inc. make from Greater China in 2017 Q4?,58800000000.0
How much revenue does Potato Inc. make from Greater China in 2018 Q1?,35920000000.0
How much revenue does Potato Inc. make from Greater China in 2018 Q2?,91140000000.0
How much revenue does Potato Inc. make from Greater China in 2018 Q3?,85959000000.0
How much revenue does Potato Inc. make from Greater China in 2018 Q4?,79877000000.0
How much revenue does Potato Inc. make from Greater China in 2019 Q1?,92127000000.0
How much revenue does Potato Inc. make from Greater China in 2019 Q2?,51090000000.0
How much revenue does Potato Inc. make from Greater China in 2019 Q3?,82413000000.0
How much revenue does Potato Inc. make from Greater China in 2019 Q4?,77938000000.0
How much revenue does Potato Inc. make from Greater China in 2020 Q1?,95046000000.0
How much revenue does Potato Inc. make from Greater China in 2020 Q2?,28365000000.0
How much revenue does Potato Inc. make from Greater China in 2020 Q3?,27987000000.0
How much revenue does Potato Inc. make from Greater China in 2020 Q4?,31784000000.0
How much revenue does Potato Inc. make from Greater China in 2021 Q1?,171000000000.0
How much revenue does Potato Inc. make from Greater China in 2021 Q2?,142000000000.0
How much revenue does Potato Inc. make from Greater China in 2021 Q3?,29524000000.0
How much revenue does Potato Inc. make from Greater China in 2021 Q4?,72815000000.0
How much revenue does Potato Inc. make from Greater China in 2022 Q1?,129000000000.0
How much revenue does Potato Inc. make from Greater China in 2022 Q2?,91715000000.0
How much revenue does Potato Inc. make from Greater China in 2022 Q3?,43812000000.0
How much revenue does Potato Inc. make from Greater China in 2022 Q4?,92820000000.0
How much revenue does Potato Inc. make from Greater China in 2023 Q1?,191000000000.0
How much revenue does Potato Inc. make from Greater China in 2023 Q2?,53436000000.0
How much revenue does Potato Inc. make from Greater China in 2023 Q3?,110000000000.0
How much revenue does Potato Inc. make from Japan in 2015 Q1?,27250000000.0
How much revenue does Potato Inc. make from Japan in 2015 Q2?,10380000000.0
How much revenue does Potato Inc. make from Japan in 2015 Q3?,20090000000.0
How much revenue does Potato Inc. make from Japan in 2015 Q4?,23580000000.0
How much revenue does Potato Inc. make from Japan in 2016 Q1?,28740000000.0
How much revenue does Potato Inc. make from Japan in 2016 Q2?,8560000000.0
How much revenue does Potato Inc. make from Japan in 2016 Q3?,28240000000.0
How much revenue does Potato Inc. make from Japan in 2016 Q4?,34560000000.0
How much revenue does Potato Inc. make from Japan in 2017 Q1?,23080000000.0
How much revenue does Potato Inc. make from Japan in 2017 Q2?,13470000000.0
How much revenue does Potato Inc. make from Japan in 2017 Q3?,28960000000.0
How much revenue does Potato Inc. make from Japan in 2017 Q4?,15440000000.0
How much revenue does Potato Inc. make from Japan in 2018 Q1?,36200000000.0
How much revenue does Potato Inc. make from Japan in 2018 Q2?,38290000000.0
How much revenue does Potato Inc. make from Japan in 2018 Q3?,27069000000.0
How much revenue does Potato Inc. make from Japan in 2018 Q4?,20644000000.0
How much revenue does Potato Inc. make from Japan in 2019 Q1?,41460000000.0
How much revenue does Potato Inc. make from Japan in 2019 Q2?,33192000000.0
How much revenue does Potato Inc. make from Japan in 2019 Q3?,32656000000.0
How much revenue does Potato Inc. make from Japan in 2019 Q4?,24910000000.0
How much revenue does Potato Inc. make from Japan in 2020 Q1?,31115000000.0
How much revenue does Potato Inc. make from Japan in 2020 Q2?,31236000000.0
How much revenue does Potato Inc. make from Japan in 2020 Q3?,44694000000.0
How much revenue does Potato Inc. make from Japan in 2020 Q4?,45207000000.0
How much revenue does Potato Inc. make from Japan in 2021 Q1?,49710000000.0
How much revenue does Potato Inc. make from Japan in 2021 Q2?,69678000000.0
How much revenue does Potato Inc. make from Japan in 2021 Q3?,19392000000.0
How much revenue does Potato Inc. make from Japan in 2021 Q4?,35946000000.0
How much revenue does Potato Inc. make from Japan in 2022 Q1?,49749000000.0
How much revenue does Potato Inc. make from Japan in 2022 Q2?,15448000000.0
How much revenue does Potato Inc. make from Japan in 2022 Q3?,43568000000.0
How much revenue does Potato Inc. make from Japan in 2022 Q4?,45600000000.0
How much revenue does Potato Inc. make from Japan in 2023 Q1?,20265000000.0
How much revenue does Potato Inc. make from Japan in 2023 Q2?,43056000000.0
How much revenue does Potato Inc. make from Japan in 2023 Q3?,33747000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2015 Q1?,41840000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2015 Q2?,29470000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2015 Q3?,23600000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2015 Q4?,13500000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2016 Q1?,27250000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2016 Q2?,12640000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2016 Q3?,14280000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2016 Q4?,21360000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2017 Q1?,46880000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2017 Q2?,15200000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2017 Q3?,8190000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2017 Q4?,16860000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2018 Q1?,20550000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2018 Q2?,11880000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2018 Q3?,25336000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2018 Q4?,20574000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2019 Q1?,20784000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2019 Q2?,10845000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2019 Q3?,17945000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2019 Q4?,21936000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2020 Q1?,36890000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2020 Q2?,15540000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2020 Q3?,37791000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2020 Q4?,20655000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2021 Q1?,24675000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2021 Q2?,45264000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2021 Q3?,43160000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2021 Q4?,25960000000.0
